dataset,group,queryName,method,actual,estimated,relativeError,qError,fitTimeMs,inferTotalMs,inferPerQueryUs,throughputQps,heapDeltaBytes
synthetic_D2,narrow,synthetic_D2_narrow_0,ProposedCEDEstimator,478.0,345.6761,0.276828,1.382797,262.710,11.787,19.645,50903.914,131424
synthetic_D2,narrow,synthetic_D2_narrow_1,ProposedCEDEstimator,214.0,261.0513,0.219866,1.219866,262.710,11.787,19.645,50903.914,131424
synthetic_D2,narrow,synthetic_D2_narrow_2,ProposedCEDEstimator,456.0,582.7938,0.278056,1.278056,262.710,11.787,19.645,50903.914,131424
synthetic_D2,narrow,synthetic_D2_narrow_3,ProposedCEDEstimator,1504.0,1503.2689,0.000486,1.000486,262.710,11.787,19.645,50903.914,131424
synthetic_D2,narrow,synthetic_D2_narrow_4,ProposedCEDEstimator,816.0,771.3249,0.054749,1.057920,262.710,11.787,19.645,50903.914,131424
synthetic_D2,narrow,synthetic_D2_narrow_5,ProposedCEDEstimator,476.0,505.9279,0.062874,1.062874,262.710,11.787,19.645,50903.914,131424
synthetic_D2,narrow,synthetic_D2_narrow_6,ProposedCEDEstimator,973.0,962.5587,0.010731,1.010847,262.710,11.787,19.645,50903.914,131424
synthetic_D2,narrow,synthetic_D2_narrow_7,ProposedCEDEstimator,1982.0,1966.0700,0.008037,1.008102,262.710,11.787,19.645,50903.914,131424
synthetic_D2,narrow,synthetic_D2_narrow_8,ProposedCEDEstimator,1968.0,1825.6302,0.072342,1.077984,262.710,11.787,19.645,50903.914,131424
synthetic_D2,narrow,synthetic_D2_narrow_9,ProposedCEDEstimator,1647.0,1650.7413,0.002272,1.002272,262.710,11.787,19.645,50903.914,131424
synthetic_D2,narrow,synthetic_D2_narrow_10,ProposedCEDEstimator,1346.0,1215.6537,0.096840,1.107223,262.710,11.787,19.645,50903.914,131424
synthetic_D2,narrow,synthetic_D2_narrow_11,ProposedCEDEstimator,1115.0,1089.0728,0.023253,1.023807,262.710,11.787,19.645,50903.914,131424
synthetic_D2,narrow,synthetic_D2_narrow_12,ProposedCEDEstimator,1882.0,1575.0133,0.163117,1.194911,262.710,11.787,19.645,50903.914,131424
synthetic_D2,narrow,synthetic_D2_narrow_13,ProposedCEDEstimator,2395.0,2207.7489,0.078184,1.084815,262.710,11.787,19.645,50903.914,131424
synthetic_D2,narrow,synthetic_D2_narrow_14,ProposedCEDEstimator,1504.0,1448.7048,0.036765,1.038169,262.710,11.787,19.645,50903.914,131424
synthetic_D2,narrow,synthetic_D2_narrow_15,ProposedCEDEstimator,1824.0,1715.5497,0.059457,1.063216,262.710,11.787,19.645,50903.914,131424
synthetic_D2,narrow,synthetic_D2_narrow_16,ProposedCEDEstimator,1442.0,1359.1915,0.057426,1.060925,262.710,11.787,19.645,50903.914,131424
synthetic_D2,narrow,synthetic_D2_narrow_17,ProposedCEDEstimator,1456.0,1353.0517,0.070706,1.076086,262.710,11.787,19.645,50903.914,131424
