name,attr1_min,attr1_max,attr2_min,attr2_max
synthetic_D2_medium_0,44.3203,63.1387,63.1478,93.2881
synthetic_D2_medium_1,57.3535,68.8149,53.3848,68.9508
synthetic_D2_medium_2,44.3203,59.8786,56.8555,93.2881
synthetic_D2_medium_3,44.9030,65.4266,72.1004,89.8254
synthetic_D2_medium_4,51.0115,60.2817,48.3913,69.0691
synthetic_D2_medium_5,44.3203,69.9248,78.7402,88.1892
synthetic_D2_medium_6,44.7303,56.1595,56.8906,93.2881
synthetic_D2_medium_7,55.3438,71.5556,49.7598,56.3308
synthetic_D2_medium_8,54.1371,63.1657,53.4283,66.9017
synthetic_D2_medium_9,57.6388,81.6400,66.1217,75.9949
synthetic_D2_medium_10,44.3203,65.6550,70.3663,86.8259
synthetic_D2_medium_11,51.7539,71.7361,61.0302,67.1088
synthetic_D2_medium_12,57.3713,62.8747,45.7012,69.1506
synthetic_D2_medium_13,62.0626,86.6906,64.8201,82.9743
synthetic_D2_medium_14,44.3203,65.8351,75.1923,83.7073
synthetic_D2_medium_15,64.4930,82.9582,45.6844,62.7762
synthetic_D2_medium_16,59.5148,68.2600,48.1709,72.8639
synthetic_D2_medium_17,44.3203,65.8527,64.3897,92.6647
synthetic_D2_medium_18,55.7624,64.9072,45.0114,73.7387
synthetic_D2_medium_19,69.3196,75.9440,45.0114,73.3903
synthetic_D2_medium_20,65.2043,71.3667,52.1945,82.4075
synthetic_D2_medium_21,51.6187,63.4889,65.0420,92.6586
synthetic_D2_medium_22,60.5766,75.0074,63.2851,76.6503
synthetic_D2_medium_23,48.6203,61.4607,65.9705,90.9573
synthetic_D2_medium_24,45.5740,60.7908,69.3608,92.2826
synthetic_D2_medium_25,44.3203,63.1648,69.5999,93.2881
synthetic_D2_medium_26,61.6017,67.1263,45.9753,68.1863
synthetic_D2_medium_27,44.6739,65.7261,64.8117,93.2881
synthetic_D2_medium_28,45.5081,63.2555,70.0130,82.9000
synthetic_D2_medium_29,67.8250,76.1218,51.6911,67.7951
synthetic_D2_medium_30,60.2878,82.1070,67.5796,83.4316
synthetic_D2_medium_31,67.0143,79.0325,67.5889,79.5369
synthetic_D2_medium_32,63.5178,85.5732,64.0603,77.2409
synthetic_D2_medium_33,57.0423,66.7187,46.1380,70.0004
synthetic_D2_medium_34,63.2861,71.2491,58.2975,75.6161
synthetic_D2_medium_35,61.2885,81.2475,52.9563,59.1995
synthetic_D2_medium_36,50.3661,67.7855,62.9709,69.3763
synthetic_D2_medium_37,64.4639,79.8039,63.9837,78.8753
synthetic_D2_medium_38,44.3203,60.4201,65.5315,84.9417
synthetic_D2_medium_39,44.3203,60.7317,70.2254,80.0040
synthetic_D2_medium_40,51.8545,66.8611,56.5951,68.7853
synthetic_D2_medium_41,66.7526,86.6906,45.0114,68.3253
synthetic_D2_medium_42,62.5202,77.1352,64.6636,73.1516
synthetic_D2_medium_43,71.6951,85.3565,65.7719,81.7409
synthetic_D2_medium_44,45.2443,63.8621,72.0007,88.5663
synthetic_D2_medium_45,60.6002,78.6064,65.6554,73.1658
synthetic_D2_medium_46,49.4745,65.6817,63.8735,91.0075
synthetic_D2_medium_47,65.7784,77.6820,67.3329,74.2217
synthetic_D2_medium_48,68.3790,76.1362,65.8311,79.8179
synthetic_D2_medium_49,70.4229,74.9789,51.2264,84.2830
synthetic_D2_medium_50,44.3203,56.9756,69.3932,93.2881
synthetic_D2_medium_51,44.3203,65.3037,69.5774,89.7492
synthetic_D2_medium_52,56.9929,63.0653,45.0114,67.2494
synthetic_D2_medium_53,64.8148,76.4182,64.5767,79.5241
synthetic_D2_medium_54,44.3203,63.9902,74.8389,83.5599
synthetic_D2_medium_55,65.1894,71.6132,54.1168,81.6218
synthetic_D2_medium_56,60.7145,65.2945,54.0031,79.2015
synthetic_D2_medium_57,61.3499,66.3779,48.1531,77.1529
synthetic_D2_medium_58,61.9294,85.3094,62.8472,69.6996
synthetic_D2_medium_59,51.8944,58.0840,45.0114,75.3366
synthetic_D2_medium_60,71.0182,84.9170,51.9106,86.2328
synthetic_D2_medium_61,44.4095,66.5223,48.4930,63.9040
synthetic_D2_medium_62,56.6327,61.0203,49.2837,63.2083
synthetic_D2_medium_63,62.2550,82.4650,52.1465,60.7731
synthetic_D2_medium_64,46.7805,65.4779,50.9159,61.8733
synthetic_D2_medium_65,61.1248,65.8716,45.0114,77.7803
synthetic_D2_medium_66,47.5116,60.0516,73.7377,81.0009
synthetic_D2_medium_67,45.7097,63.3031,70.9266,89.0098
synthetic_D2_medium_68,44.3203,65.7336,69.9337,83.7041
synthetic_D2_medium_69,44.3203,68.1501,68.6598,93.2881
synthetic_D2_medium_70,44.3203,67.8746,76.8690,82.6712
synthetic_D2_medium_71,66.6686,76.0762,53.6902,70.0972
synthetic_D2_medium_72,50.5817,73.3795,59.6448,65.0814
synthetic_D2_medium_73,53.2042,60.0098,46.6589,72.5501
synthetic_D2_medium_74,58.4352,65.1770,51.5099,60.8673
synthetic_D2_medium_75,71.2223,77.8163,54.5374,68.0594
synthetic_D2_medium_76,47.4715,63.5115,53.7753,67.6195
synthetic_D2_medium_77,62.3902,68.7596,48.9472,78.7904
synthetic_D2_medium_78,54.3285,61.3965,45.0114,70.0824
synthetic_D2_medium_79,44.3203,64.0417,45.0114,62.1785
synthetic_D2_medium_80,44.3203,62.3546,75.4908,80.5338
synthetic_D2_medium_81,54.6882,68.8880,56.9188,68.4878
synthetic_D2_medium_82,57.6694,67.0338,45.0114,68.5480
synthetic_D2_medium_83,44.3203,60.6641,76.7626,87.6826
synthetic_D2_medium_84,51.8277,66.2995,45.6559,62.0907
synthetic_D2_medium_85,44.3203,69.2384,69.3535,93.2881
