name,attr1_min,attr1_max,attr2_min,attr2_max
synthetic_D2_narrow_0,47.6585,63.8937,81.1661,86.0105
synthetic_D2_narrow_1,78.4223,86.6906,63.4174,77.8572
synthetic_D2_narrow_2,47.8029,56.1009,45.0114,65.9354
synthetic_D2_narrow_3,65.6255,72.8153,48.5321,66.6341
synthetic_D2_narrow_4,51.2788,61.9548,57.9911,65.2293
synthetic_D2_narrow_5,60.3682,68.5022,67.8119,77.4471
synthetic_D2_narrow_6,44.3203,58.9816,45.0114,59.6366
synthetic_D2_narrow_7,71.8472,86.6906,58.6345,75.6569
synthetic_D2_narrow_8,64.1188,80.9184,56.3221,64.3741
synthetic_D2_narrow_9,69.8179,77.4209,60.1471,72.3997
synthetic_D2_narrow_10,56.1586,63.8576,57.8884,73.2272
synthetic_D2_narrow_11,65.0033,78.1697,69.8266,76.6688
synthetic_D2_narrow_12,45.2851,74.6209,51.0968,57.9762
synthetic_D2_narrow_13,58.5552,71.7694,52.0043,63.4673
synthetic_D2_narrow_14,44.7003,55.3367,67.4899,84.2623
synthetic_D2_narrow_15,68.4819,83.8313,66.0029,77.3455
synthetic_D2_narrow_16,72.4496,77.6370,45.0114,71.1088
synthetic_D2_narrow_17,44.3203,65.2611,76.4768,87.4090
synthetic_D2_narrow_18,52.5786,58.8646,46.2758,70.7862
synthetic_D2_narrow_19,52.8987,57.1393,59.3682,92.3524
synthetic_D2_narrow_20,44.3203,63.5168,67.8007,92.2609
synthetic_D2_narrow_21,50.2244,58.3274,47.8556,64.1436
synthetic_D2_narrow_22,53.1478,60.1150,67.4320,73.1702
synthetic_D2_narrow_23,44.3203,65.6538,74.7404,88.4376
synthetic_D2_narrow_24,49.2959,64.1837,45.0114,59.3844
synthetic_D2_narrow_25,57.2961,61.8167,45.0114,73.6618
synthetic_D2_narrow_26,64.5449,84.0609,57.2965,62.3857
synthetic_D2_narrow_27,62.8848,70.1226,50.8763,73.6243
synthetic_D2_narrow_28,68.0389,79.1587,50.4041,66.3415
synthetic_D2_narrow_29,52.4807,72.6939,65.4840,70.4792
synthetic_D2_narrow_30,57.8649,64.4729,45.0114,76.9214
synthetic_D2_narrow_31,44.3203,58.9110,71.2637,88.1937
synthetic_D2_narrow_32,58.9571,64.4021,49.7798,85.9904
synthetic_D2_narrow_33,49.0153,55.3065,64.7543,93.2881
synthetic_D2_narrow_34,54.4663,60.3677,45.0114,69.5585
synthetic_D2_narrow_35,44.3203,65.7620,73.1292,90.9922
synthetic_D2_narrow_36,46.0334,54.4178,77.2183,84.8577
synthetic_D2_narrow_37,47.4282,55.9176,68.9930,93.2881
synthetic_D2_narrow_38,62.2589,78.3135,59.2286,65.6864
synthetic_D2_narrow_39,49.1850,63.6810,51.0655,59.4741
synthetic_D2_narrow_40,69.5676,75.4496,54.5989,83.1167
synthetic_D2_narrow_41,66.7665,86.1435,71.3232,82.8360
synthetic_D2_narrow_42,44.3203,67.9178,82.8263,89.7843
synthetic_D2_narrow_43,62.5829,67.1389,56.2658,78.2380
synthetic_D2_narrow_44,63.7448,82.2992,67.8328,74.2216
synthetic_D2_narrow_45,72.0031,81.4855,52.3492,81.7804
synthetic_D2_narrow_46,45.2416,61.7110,56.5549,65.8585
synthetic_D2_narrow_47,47.0872,63.6856,72.2822,82.8090
synthetic_D2_narrow_48,64.0669,75.7267,48.7880,59.0766
synthetic_D2_narrow_49,44.3203,61.6534,66.5885,83.2005
synthetic_D2_narrow_50,61.4841,73.9431,57.4184,65.1858
synthetic_D2_narrow_51,44.3203,62.0833,63.0813,82.5813
synthetic_D2_narrow_52,44.3203,64.6826,76.0627,84.7919
synthetic_D2_narrow_53,44.3203,60.0962,70.7468,84.8510
synthetic_D2_narrow_54,52.0491,61.8063,46.3065,65.4917
synthetic_D2_narrow_55,44.3203,70.8650,64.7210,70.1538
synthetic_D2_narrow_56,60.8739,77.8007,66.3336,83.1178
synthetic_D2_narrow_57,67.3583,73.0455,52.3618,68.4412
synthetic_D2_narrow_58,64.8177,72.3557,55.7307,91.3125
synthetic_D2_narrow_59,71.2915,81.2597,69.9742,86.7364
synthetic_D2_narrow_60,44.3203,59.8439,77.7625,82.7877
synthetic_D2_narrow_61,51.7684,57.9634,45.0114,69.8159
synthetic_D2_narrow_62,54.7587,65.6527,49.4133,54.4347
