name,attr1_min,attr1_max,attr2_min,attr2_max
synthetic_D2_wide_0,58.7724,86.6906,55.8415,82.9457
synthetic_D2_wide_1,48.6529,70.3903,52.2768,90.1772
synthetic_D2_wide_2,49.8152,75.4614,53.5889,74.8525
synthetic_D2_wide_3,59.6838,74.4898,47.2309,84.2449
synthetic_D2_wide_4,53.0446,82.8916,51.0613,72.5253
synthetic_D2_wide_5,47.3997,71.9911,45.0114,73.3886
synthetic_D2_wide_6,56.8190,85.1510,56.9685,86.3443
synthetic_D2_wide_7,47.6104,80.8122,45.0114,70.5049
synthetic_D2_wide_8,44.9441,75.9097,50.8777,76.8297
synthetic_D2_wide_9,58.0390,84.3914,48.9149,72.8931
synthetic_D2_wide_10,48.9706,75.0896,45.0114,71.0956
synthetic_D2_wide_11,44.3203,71.7667,45.0114,71.2484
synthetic_D2_wide_12,44.3203,73.0581,45.0114,71.9322
synthetic_D2_wide_13,63.2822,84.9364,45.0114,75.1799
synthetic_D2_wide_14,50.9842,80.0904,48.9966,81.3928
synthetic_D2_wide_15,53.1766,78.4248,53.8308,86.2416
synthetic_D2_wide_16,44.3203,72.6141,45.0114,75.4061
synthetic_D2_wide_17,46.4869,69.7647,52.9689,78.5001
synthetic_D2_wide_18,56.6588,76.6638,51.9198,70.8536
synthetic_D2_wide_19,48.7786,80.5470,54.0628,75.6324
synthetic_D2_wide_20,59.4239,86.2999,45.0114,79.8367
synthetic_D2_wide_21,54.8737,84.9997,45.0114,73.6160
synthetic_D2_wide_22,59.2805,81.2507,51.4371,73.3599
synthetic_D2_wide_23,52.5918,86.2112,57.3172,81.9092
synthetic_D2_wide_24,56.2737,77.0805,51.7139,69.0483
synthetic_D2_wide_25,57.6591,86.6906,57.1749,77.7563
synthetic_D2_wide_26,44.3203,70.6568,45.0114,76.7138
synthetic_D2_wide_27,52.1946,80.1150,45.0114,78.7893
synthetic_D2_wide_28,48.9803,72.3065,46.1812,74.1752
synthetic_D2_wide_29,56.5293,86.6906,46.7848,79.9428
synthetic_D2_wide_30,59.2530,86.6906,48.7274,86.3012
synthetic_D2_wide_31,62.1614,85.1030,49.3819,86.5515
synthetic_D2_wide_32,54.2789,76.6355,56.2267,81.3779
synthetic_D2_wide_33,48.3171,71.2051,52.6392,77.8010
synthetic_D2_wide_34,47.7375,80.2539,52.5360,81.9568
synthetic_D2_wide_35,49.7349,75.6717,51.9289,76.4247
synthetic_D2_wide_36,60.9099,76.4121,45.0114,81.9949
synthetic_D2_wide_37,56.6401,86.0945,45.0114,68.6554
synthetic_D2_wide_38,53.9571,86.6906,45.0114,66.4443
synthetic_D2_wide_39,47.2758,69.2398,52.8662,91.3302
synthetic_D2_wide_40,44.3203,71.6872,45.0114,73.1304
synthetic_D2_wide_41,57.6241,86.6906,49.2686,73.8334
synthetic_D2_wide_42,45.1697,73.8895,45.0114,71.1654
synthetic_D2_wide_43,57.7922,86.1260,50.6179,79.4661
synthetic_D2_wide_44,62.9105,82.5455,45.0114,78.8316
synthetic_D2_wide_45,62.5948,81.7334,45.0114,77.6126
synthetic_D2_wide_46,49.0270,79.3654,51.6148,82.7870
synthetic_D2_wide_47,60.2625,86.6906,57.1856,88.8028
synthetic_D2_wide_48,60.7450,86.6906,56.3285,82.7477
synthetic_D2_wide_49,55.3989,77.9971,50.1595,77.4047
synthetic_D2_wide_50,55.1095,78.1549,45.0114,76.4727
synthetic_D2_wide_51,44.3203,72.8646,45.0114,78.4351
synthetic_D2_wide_52,44.3203,71.6873,45.0114,72.0769
synthetic_D2_wide_53,57.5646,86.6906,47.4931,79.8231
synthetic_D2_wide_54,57.3654,78.6754,57.6366,86.5224
synthetic_D2_wide_55,60.6809,86.6906,58.0653,87.1463
synthetic_D2_wide_56,58.0354,82.6268,46.9484,78.4218
synthetic_D2_wide_57,57.8269,73.2327,45.2556,82.0840
synthetic_D2_wide_58,63.5317,80.7463,47.9034,82.9970
synthetic_D2_wide_59,44.3203,74.2259,47.4840,80.1560
synthetic_D2_wide_60,53.2126,77.6494,47.9873,76.9435
synthetic_D2_wide_61,54.7578,78.5816,51.7021,77.4575
synthetic_D2_wide_62,59.4735,86.6906,52.4351,88.8123
synthetic_D2_wide_63,58.6269,81.1635,45.5437,77.8145
synthetic_D2_wide_64,60.9417,76.7555,46.5736,79.8710
synthetic_D2_wide_65,59.2279,81.2187,53.8280,87.0076
synthetic_D2_wide_66,62.8574,78.3138,48.1813,80.9269
synthetic_D2_wide_67,60.6778,86.0084,51.2484,86.9640
synthetic_D2_wide_68,51.8131,76.1011,49.8136,80.5548
synthetic_D2_wide_69,53.1915,85.9089,45.0114,72.5148
synthetic_D2_wide_70,55.0087,82.0033,47.8313,71.3361
synthetic_D2_wide_71,44.3203,68.5787,56.6621,93.2881
synthetic_D2_wide_72,54.2593,76.0465,45.0114,74.2401
synthetic_D2_wide_73,44.3203,73.1052,50.6232,78.9690
synthetic_D2_wide_74,57.7608,86.6906,58.5504,92.4020
synthetic_D2_wide_75,56.5282,82.7562,56.1295,73.2569
synthetic_D2_wide_76,44.3203,76.6378,46.6815,80.7611
synthetic_D2_wide_77,58.8328,81.9692,53.1290,90.9434
synthetic_D2_wide_78,55.9341,86.6906,49.8802,77.1016
synthetic_D2_wide_79,49.4390,80.0654,54.0598,70.7258
synthetic_D2_wide_80,46.9934,79.3856,45.0114,80.8943
synthetic_D2_wide_81,44.3203,70.6102,57.8094,93.2881
synthetic_D2_wide_82,61.7806,78.2364,50.3638,86.5794
synthetic_D2_wide_83,60.9195,84.7083,56.7233,83.7263
synthetic_D2_wide_84,63.8041,85.9183,48.2127,82.0857
synthetic_D2_wide_85,45.9659,72.0401,52.3010,83.6772
