name,attr1_min,attr1_max,attr2_min,attr2_max,attr3_min,attr3_max,attr4_min,attr4_max,attr5_min,attr5_max
synthetic_D5_medium_0,26.2028,55.9230,57.4770,85.0532,41.8697,73.2776,37.8257,76.8515,15.5674,51.2752
synthetic_D5_medium_1,26.3905,45.9189,57.4279,85.0532,51.7530,67.9276,41.8146,85.8548,22.8266,38.3894
synthetic_D5_medium_2,39.1777,66.4829,40.9484,62.4570,9.5223,27.2037,72.8746,81.4218,11.1311,37.9367
synthetic_D5_medium_3,32.1196,46.9574,45.9512,85.0532,53.4773,73.2776,41.2879,65.0599,11.1311,57.8719
synthetic_D5_medium_4,44.0651,79.0233,22.7160,40.3884,45.6910,63.1808,26.7704,49.8142,43.1569,88.8769
synthetic_D5_medium_5,26.2028,56.2691,43.7145,85.0532,32.8910,73.2776,41.6538,69.1950,11.1311,68.5945
synthetic_D5_medium_6,26.2028,58.2851,48.6257,85.0532,54.6332,67.6500,53.2975,63.8233,11.1311,62.7455
synthetic_D5_medium_7,61.3403,77.6515,49.2191,56.0239,34.5706,50.9956,51.6548,86.5606,56.9663,90.6444
synthetic_D5_medium_8,52.4194,66.1974,22.7846,41.0476,23.4959,73.2776,26.7704,52.5362,52.2873,78.2975
synthetic_D5_medium_9,49.0661,79.3683,19.5005,45.9482,38.1507,71.6247,26.7704,47.5914,55.6225,86.0059
synthetic_D5_medium_10,48.1248,79.3683,19.5005,51.6689,44.4379,67.2329,30.6778,48.5154,41.7009,90.6444
synthetic_D5_medium_11,26.2028,54.1502,66.9546,76.4886,35.1460,73.2776,49.2988,63.9150,25.9412,43.9122
synthetic_D5_medium_12,47.7355,58.5435,35.0299,64.3305,9.5223,36.7081,70.8098,89.5668,11.2527,33.2657
synthetic_D5_medium_13,56.0981,79.1563,19.5005,48.6327,29.8473,73.2776,26.7704,52.7774,46.5464,85.4642
synthetic_D5_medium_14,61.1394,67.2184,33.1672,65.7934,33.9474,52.0492,51.9275,83.1287,47.9466,90.6444
synthetic_D5_medium_15,51.4501,73.7193,41.1310,58.6298,20.2100,40.3372,67.7397,89.5668,51.4153,82.3263
synthetic_D5_medium_16,65.9281,79.3683,44.4537,59.6347,32.8198,45.6462,38.5998,83.6612,63.6332,86.1868
synthetic_D5_medium_17,42.2255,54.0743,29.0248,71.2854,9.5223,45.5474,61.1404,89.5668,12.5339,34.3335
synthetic_D5_medium_18,50.2905,59.9069,46.3009,57.7955,9.5223,38.9731,65.8597,89.5668,11.1311,38.5670
synthetic_D5_medium_19,52.1885,64.3303,19.5005,47.5656,45.5241,64.5747,29.8772,48.5190,44.7067,90.6444
synthetic_D5_medium_20,26.2028,50.9925,50.5711,85.0532,46.7498,66.8524,39.5376,78.4516,19.1403,47.9279
synthetic_D5_medium_21,55.8350,66.2510,20.4521,66.1809,18.3872,54.3486,43.5479,89.5668,56.1919,80.1433
synthetic_D5_medium_22,32.7680,66.0148,34.2608,61.7682,9.5223,41.7241,72.8034,89.5668,11.1311,28.7184
synthetic_D5_medium_23,26.2028,49.6004,59.1516,83.7916,45.4255,73.2776,40.5319,75.9231,11.1311,58.0807
synthetic_D5_medium_24,41.5297,59.9125,28.8419,68.2813,11.6991,32.2555,69.9871,89.5668,11.1311,26.1319
synthetic_D5_medium_25,46.1369,59.4285,41.9779,72.3689,9.5223,39.8787,69.2922,80.0194,11.1311,40.4819
synthetic_D5_medium_26,43.7576,79.3683,19.5005,41.6897,31.5551,57.0231,26.7704,48.5144,46.4724,90.6444
synthetic_D5_medium_27,63.6463,73.3799,42.3718,61.3638,18.1296,58.0284,52.5154,70.3270,69.0551,82.9021
synthetic_D5_medium_28,53.0917,69.6579,19.5005,38.7625,28.4483,68.9601,26.7704,59.0649,45.1769,86.2581
synthetic_D5_medium_29,60.3235,75.1837,19.7087,41.9609,32.8679,73.2776,33.5328,43.8646,58.1481,71.9523
synthetic_D5_medium_30,58.0556,68.9722,39.4791,56.8509,16.3726,50.4136,63.5078,72.5078,40.4849,84.5427
synthetic_D5_medium_31,55.7127,70.2723,32.4593,52.7559,12.0107,51.9143,50.2468,88.7848,35.9246,88.7984
synthetic_D5_medium_32,48.2786,79.3683,27.0921,75.3271,16.9437,53.4907,67.1587,73.9467,41.7972,83.2998
synthetic_D5_medium_33,43.5580,79.3683,23.3853,38.3699,25.2657,70.9719,26.7704,53.4254,44.9700,90.6444
synthetic_D5_medium_34,57.0739,79.3683,48.4695,57.3721,36.4720,44.0376,45.2534,82.9752,53.7177,90.6444
synthetic_D5_medium_35,35.5995,54.0177,69.2346,82.6008,53.1581,73.2776,26.7704,69.3233,22.5205,44.9235
synthetic_D5_medium_36,26.2028,59.6241,54.9510,85.0532,56.4094,65.4588,36.0231,82.7057,11.1311,58.9594
synthetic_D5_medium_37,63.6629,79.3683,37.1866,65.6362,32.0415,56.5699,59.3959,79.9953,53.9175,90.6444
synthetic_D5_medium_38,46.6714,79.3683,40.9085,72.1287,31.1257,41.9595,58.7492,81.7034,66.9944,90.6118
synthetic_D5_medium_39,55.0347,67.3363,26.7069,57.6149,14.4809,47.7543,58.5243,78.5703,61.6920,78.5766
synthetic_D5_medium_40,48.0699,75.2073,36.1233,52.7815,18.0608,53.8536,59.5804,87.6320,43.2136,90.6444
synthetic_D5_medium_41,27.1659,49.2439,68.0244,76.8398,38.0901,73.2776,49.5160,60.5632,26.7576,37.5316
synthetic_D5_medium_42,45.2237,68.6849,43.4454,58.3240,9.5223,32.6947,62.9344,82.5670,11.1311,51.0981
synthetic_D5_medium_43,50.0115,68.8919,31.4553,70.8231,30.3263,49.1953,62.0843,71.5319,43.6069,90.6444
synthetic_D5_medium_44,55.9221,79.3683,25.6556,70.8336,31.8446,39.5072,45.9669,86.0403,61.7323,88.7499
synthetic_D5_medium_45,37.9625,75.7595,31.3642,66.3832,9.5223,31.8836,66.9259,89.5668,16.0305,24.9847
synthetic_D5_medium_46,51.2164,56.9444,34.4815,71.4269,14.4952,34.4502,62.3669,88.6499,11.1311,37.5342
synthetic_D5_medium_47,63.4136,79.3683,19.5005,50.0620,31.9577,65.6069,26.7704,58.6421,59.3074,81.7766
synthetic_D5_medium_48,40.1280,78.7558,29.0736,52.7572,25.2633,42.2049,60.6488,89.5668,61.4271,73.8015
synthetic_D5_medium_49,63.1829,70.2877,33.0248,67.9968,13.9776,56.8884,50.1163,85.1671,40.6488,76.7142
synthetic_D5_medium_50,32.6519,61.6507,28.8654,68.6816,22.0044,33.8706,70.7460,89.5668,11.1311,46.0534
synthetic_D5_medium_51,58.1311,78.5951,19.5005,53.6835,33.7806,67.5050,26.7704,59.0147,64.2221,83.8763
synthetic_D5_medium_52,33.6448,43.0272,70.5980,79.7370,41.2630,73.2776,44.6602,69.7544,24.1972,36.7960
synthetic_D5_medium_53,26.2028,55.3894,51.2813,85.0532,52.6797,71.8017,47.8261,57.6607,11.1311,59.2327
synthetic_D5_medium_54,45.1819,66.2425,26.0753,73.9255,9.5223,35.6583,70.9629,84.8419,11.1311,52.7015
synthetic_D5_medium_55,44.1136,79.3683,21.3203,47.2395,47.3770,56.0874,26.7704,45.9464,61.2012,79.3736
synthetic_D5_medium_56,46.6222,79.3683,48.8795,61.8279,25.8307,54.2963,60.1492,74.3534,60.7947,90.6444
synthetic_D5_medium_57,53.0599,71.1589,19.5005,37.0235,46.9574,55.9492,26.7704,56.0196,58.3099,76.8695
synthetic_D5_medium_58,47.6947,55.4771,26.0029,73.5049,9.5223,45.3381,59.3871,89.5668,11.1311,45.8641
synthetic_D5_medium_59,49.9179,79.3683,20.4626,42.1770,29.8058,63.1982,35.7301,47.5659,41.0053,81.7837
synthetic_D5_medium_60,53.6565,73.6871,41.0220,50.6864,24.2886,42.7988,65.2496,78.6502,57.8123,73.0321
synthetic_D5_medium_61,60.9314,75.4200,19.5005,39.9936,33.2968,73.2776,26.7704,49.2259,60.6425,77.1461
synthetic_D5_medium_62,53.5442,78.5240,20.5336,30.5824,40.4963,63.8367,26.7704,49.0435,61.9135,77.8737
synthetic_D5_medium_63,32.6093,71.6541,34.3802,66.1598,12.0771,28.3709,63.7992,89.5668,11.1311,31.5509
synthetic_D5_medium_64,26.2028,45.2423,63.8873,79.4669,53.3138,70.7148,50.6189,68.5363,11.1311,58.0173
synthetic_D5_medium_65,49.0525,65.4635,45.6062,57.3948,9.5223,39.5244,62.7518,89.5668,11.1311,45.9568
synthetic_D5_medium_66,47.0477,63.1675,42.3978,59.4270,9.5223,44.5103,72.9226,89.5668,11.1311,34.1581
synthetic_D5_medium_67,53.7183,72.3977,23.0614,45.1552,41.7284,55.9556,26.7704,53.6778,37.3178,90.6444
synthetic_D5_medium_68,44.1511,63.8265,40.1238,61.5786,9.5223,26.8279,60.5786,89.5668,11.1311,37.8008
synthetic_D5_medium_69,57.5906,69.5714,19.5005,51.4817,46.1814,57.2030,26.7704,62.9420,60.6589,77.8461
synthetic_D5_medium_70,51.3954,75.6378,37.0941,67.5875,11.2202,60.6670,51.8753,72.9475,63.1216,80.9116
synthetic_D5_medium_71,46.6907,76.3561,33.5304,72.6778,22.3423,43.9137,64.9519,80.7273,51.7343,79.4553
synthetic_D5_medium_72,53.3774,78.9994,38.2317,49.0149,16.2741,56.6231,68.3108,89.5668,42.1306,90.6444
synthetic_D5_medium_73,53.3094,70.8748,28.4823,52.3523,26.9916,37.0428,66.2744,77.5428,56.2883,74.0035
synthetic_D5_medium_74,45.7266,74.2572,36.9839,48.8339,24.0024,48.6628,64.7074,73.7724,40.6167,90.6444
synthetic_D5_medium_75,43.7007,77.8289,28.8325,42.7263,35.2901,64.9755,26.7704,56.7072,51.3472,80.3026
synthetic_D5_medium_76,61.9697,77.7213,35.8924,74.7262,16.5314,60.3526,60.4606,68.7138,45.3600,90.6444
synthetic_D5_medium_77,40.4615,58.1519,24.8128,68.2906,18.5528,33.3410,68.8653,89.5668,16.7949,28.9663
synthetic_D5_medium_78,30.8366,68.6628,27.7033,65.6269,9.5223,38.4349,75.0445,86.4333,11.7887,31.4603
synthetic_D5_medium_79,26.2028,49.3450,62.1419,82.5237,58.4011,73.2776,41.9049,69.6615,11.1311,60.8464
synthetic_D5_medium_80,36.3153,62.9261,39.0013,70.3963,9.5223,44.5964,66.5189,88.0801,11.4473,31.8533
synthetic_D5_medium_81,44.2628,79.3683,26.2656,37.6702,31.4126,63.1996,26.7704,57.2986,44.5462,80.1270
synthetic_D5_medium_82,65.8574,72.8508,28.2617,80.2009,17.2600,46.3378,56.3682,74.6066,47.9585,80.3425
synthetic_D5_medium_83,43.4950,56.0584,38.0954,61.8638,17.1459,24.3745,69.8319,89.5668,15.8003,34.7793
synthetic_D5_medium_84,48.0295,63.6917,44.6746,56.6510,9.5223,37.5548,64.4180,89.5668,11.1311,50.2044
synthetic_D5_medium_85,32.5582,39.9764,53.3292,85.0532,52.6186,73.2776,40.2428,82.0474,11.1311,63.2186
synthetic_D5_medium_86,26.2028,50.6078,52.7579,84.9803,38.5078,73.2776,48.6833,57.3969,13.4292,48.3826
synthetic_D5_medium_87,50.7980,76.4110,32.3139,65.9445,26.8040,47.5968,56.2065,89.5668,50.3344,69.5068
synthetic_D5_medium_88,44.4939,69.0039,26.7508,77.3004,15.1735,40.9405,56.0068,89.5668,11.1311,30.7313
synthetic_D5_medium_89,44.7948,58.1996,29.0487,78.9975,9.5223,30.7301,60.7655,89.5668,14.2705,30.8495
synthetic_D5_medium_90,59.4667,75.1515,19.5005,51.0747,27.3185,73.2776,28.4027,49.5171,44.5058,90.6444
synthetic_D5_medium_91,37.6499,74.8611,43.1912,51.1452,24.1947,44.2769,54.7038,81.0672,35.2928,90.6444
synthetic_D5_medium_92,50.2096,76.9794,19.5005,51.0676,39.4540,69.1856,26.7704,60.3427,65.4110,75.0104
synthetic_D5_medium_93,26.2028,55.3158,51.9745,85.0532,48.7985,72.9617,38.0338,71.9374,15.7911,51.8543
synthetic_D5_medium_94,44.1548,79.3683,36.3607,57.3083,13.9461,52.6395,71.6868,89.5668,38.6636,90.6444
synthetic_D5_medium_95,33.4823,56.1695,64.8701,85.0532,49.5315,73.2776,45.0017,59.3941,11.1311,64.4048
synthetic_D5_medium_96,56.4396,77.2340,20.7644,51.9940,34.0023,69.6817,26.7704,47.4733,36.5915,90.6444
synthetic_D5_medium_97,52.9254,67.6946,38.1949,60.2517,9.5223,52.3358,63.3662,89.5668,40.8960,87.5474
synthetic_D5_medium_98,56.8581,71.1549,24.6193,39.6253,27.5486,65.8838,26.7704,65.3442,48.9790,82.9284
synthetic_D5_medium_99,54.1053,79.3683,48.6392,55.2570,31.5412,44.7604,57.9419,72.1733,56.6838,90.6444
synthetic_D5_medium_100,31.0873,44.1145,49.7618,85.0532,38.3931,73.2776,33.2724,74.7400,25.2800,34.1236
synthetic_D5_medium_101,26.3918,58.8062,58.8266,85.0532,48.7323,66.7539,39.4574,71.1084,29.9496,39.1402
synthetic_D5_medium_102,56.8732,65.9374,19.5005,50.8630,32.0599,73.2776,26.7704,47.8909,56.3509,73.0875
synthetic_D5_medium_103,63.2975,69.6277,24.0030,47.7552,43.3005,63.0359,27.9130,49.3194,44.2471,90.6444
synthetic_D5_medium_104,26.2028,57.8063,47.6020,85.0532,44.7493,73.2776,54.5125,63.1849,18.8383,43.9797
synthetic_D5_medium_105,29.0689,53.9837,46.5072,85.0532,42.7306,73.2776,42.2749,65.4183,27.4157,38.6883
synthetic_D5_medium_106,48.1399,79.3683,46.2045,55.3745,33.4036,46.3096,50.1328,82.2754,68.2713,90.6444
synthetic_D5_medium_107,26.2028,51.5321,49.7816,85.0532,44.2774,73.2776,43.9213,73.9191,26.7240,38.2622
synthetic_D5_medium_108,53.0411,75.2331,26.3300,33.1510,34.4016,61.9352,26.7704,46.8331,58.0899,81.5007
synthetic_D5_medium_109,26.2028,54.0088,46.4827,85.0532,37.4658,73.2776,38.2549,67.7473,11.1311,53.5630
synthetic_D5_medium_110,53.1015,77.2773,19.5005,48.4790,30.4881,73.2776,26.7704,45.8840,48.2661,85.4545
synthetic_D5_medium_111,26.2028,55.6768,54.9353,84.9881,48.0868,70.2088,39.2274,75.5844,11.1311,55.2893
synthetic_D5_medium_112,27.6581,48.5033,56.3513,85.0532,48.3460,61.9028,53.1034,72.1296,14.4570,61.0146
synthetic_D5_medium_113,59.6911,71.3977,28.4334,78.5770,27.9966,53.8120,45.6123,74.0303,56.3417,90.6444
synthetic_D5_medium_114,58.9459,65.0281,26.5279,73.3177,18.4375,50.9523,52.4665,89.5668,52.2539,74.1955
synthetic_D5_medium_115,43.4947,63.3639,30.2052,73.3786,9.5223,45.9859,61.4241,89.5668,12.7868,32.1834
synthetic_D5_medium_116,53.2276,69.6342,40.4130,62.6056,26.3553,63.7225,43.5676,80.9508,68.6199,87.8191
synthetic_D5_medium_117,51.5256,69.1334,33.2985,66.3863,30.4197,46.4451,64.6156,89.5668,36.9958,87.5678
