name,attr1_min,attr1_max,attr2_min,attr2_max,attr3_min,attr3_max,attr4_min,attr4_max,attr5_min,attr5_max
synthetic_D5_narrow_0,34.5723,65.2927,43.0120,50.1728,24.1633,32.8487,58.8076,89.5668,11.1311,48.7847
synthetic_D5_narrow_1,35.8999,67.3813,36.8901,65.8379,12.8920,35.3022,70.1329,89.5668,11.1311,38.0541
synthetic_D5_narrow_2,39.1258,47.9932,59.8963,85.0532,54.4099,69.4209,40.6721,89.0703,19.6654,34.1136
synthetic_D5_narrow_3,40.3642,79.3683,19.5005,41.2732,25.0490,73.2776,26.7704,57.7597,42.4962,90.6444
synthetic_D5_narrow_4,31.5104,40.4676,53.4801,85.0532,49.3589,73.2776,43.1430,70.3884,11.1311,64.4362
synthetic_D5_narrow_5,31.6452,46.5574,56.2835,85.0532,46.4283,73.2776,33.0783,76.7095,11.1311,55.6859
synthetic_D5_narrow_6,26.2028,62.2037,48.9800,85.0532,48.4693,71.9257,34.4785,72.7973,14.5355,50.3883
synthetic_D5_narrow_7,38.4988,76.5982,19.5005,59.0555,30.6992,62.7530,26.7704,58.6562,46.1755,90.6444
synthetic_D5_narrow_8,38.5813,55.5003,21.0036,70.6570,14.7127,30.1203,69.5651,85.3293,11.1311,35.9986
synthetic_D5_narrow_9,51.1097,63.4509,24.2142,67.7074,27.1127,42.1101,68.1060,84.4830,42.6863,80.2151
synthetic_D5_narrow_10,26.2028,51.4428,54.7060,85.0532,55.4565,63.2621,37.9361,73.2781,22.4469,45.5697
synthetic_D5_narrow_11,50.9347,62.9739,43.8342,57.9352,9.5223,37.0981,55.8862,89.5668,21.9035,29.8615
synthetic_D5_narrow_12,26.2028,49.8301,49.9792,85.0532,45.0077,73.2776,47.6371,64.0301,22.6979,42.3507
synthetic_D5_narrow_13,26.2028,51.4651,48.6639,85.0532,50.9669,70.2515,36.9425,77.8303,17.2869,42.5889
synthetic_D5_narrow_14,31.0216,41.1892,57.5850,79.7018,49.0555,73.2671,49.4070,62.7262,15.6053,51.5211
synthetic_D5_narrow_15,60.0493,66.2271,40.2853,79.0517,21.5287,55.5933,43.9518,73.6420,64.0722,90.6444
synthetic_D5_narrow_16,60.8562,75.9404,28.2163,52.6001,24.0575,39.0935,68.2903,80.2869,30.4388,90.6444
synthetic_D5_narrow_17,38.2701,74.0429,28.1018,74.8552,9.5223,35.6820,65.4585,84.7479,11.1311,47.7683
synthetic_D5_narrow_18,58.7351,73.0911,19.5005,36.7779,27.9621,72.0037,26.7704,59.2299,61.2892,87.1738
synthetic_D5_narrow_19,47.7115,69.0855,19.5005,39.8498,20.8433,70.3405,32.0804,38.6560,34.4651,90.6444
synthetic_D5_narrow_20,51.4125,74.4381,19.5005,48.0085,33.4654,62.8316,32.5485,39.1683,49.7313,82.0465
synthetic_D5_narrow_21,26.2028,47.7556,40.1752,85.0532,41.4218,73.2776,39.0875,72.5725,16.7192,37.5870
synthetic_D5_narrow_22,31.4187,70.0661,35.8033,74.0587,9.5223,41.3401,62.4722,89.5668,11.1311,46.8962
synthetic_D5_narrow_23,51.5483,75.5611,44.8405,66.1571,37.6102,56.3000,45.1152,77.9310,47.5327,90.6444
synthetic_D5_narrow_24,54.8082,73.5760,19.5005,41.4192,30.3635,73.2776,26.7704,50.1682,52.6431,82.9597
synthetic_D5_narrow_25,43.2386,79.3683,19.5005,47.8837,39.7917,62.3771,26.7704,58.9014,72.1503,83.2249
synthetic_D5_narrow_26,43.7190,67.5916,24.9630,63.6898,20.4184,41.9884,62.7238,80.5936,39.8160,90.6444
synthetic_D5_narrow_27,51.2427,70.6663,19.5005,53.0425,35.2419,73.2776,26.7704,60.9629,48.8813,79.6829
synthetic_D5_narrow_28,62.7241,73.2447,22.3286,32.7016,41.8491,54.3685,26.7704,61.6736,46.0101,89.9993
synthetic_D5_narrow_29,57.7422,70.4570,19.5005,51.0900,42.6884,73.2776,26.7704,53.7056,48.4582,82.9296
synthetic_D5_narrow_30,30.4402,37.5520,61.1208,78.7778,51.7367,73.2776,47.9647,55.2049,11.1311,58.0460
synthetic_D5_narrow_31,36.2010,65.9470,37.7153,60.1425,14.9782,26.0828,70.5744,89.5668,11.1311,42.5623
