name,attr1_min,attr1_max,attr2_min,attr2_max,attr3_min,attr3_max,attr4_min,attr4_max,attr5_min,attr5_max
synthetic_D5_wide_0,55.9850,79.3683,26.2736,75.4542,17.2390,59.8962,39.5729,80.9105,58.3847,90.6444
synthetic_D5_wide_1,47.5923,79.3683,31.1141,78.5233,21.9563,50.0615,49.0918,74.1026,38.8657,90.6444
synthetic_D5_wide_2,58.1809,66.9703,27.1995,77.2691,15.1698,54.1032,45.0343,89.5668,46.6361,89.6443
synthetic_D5_wide_3,57.4429,79.3683,28.2087,76.7813,27.8763,51.9797,60.2335,74.0911,57.0253,90.6444
synthetic_D5_wide_4,45.3093,79.3683,32.8056,76.6420,27.1752,65.2728,42.9203,82.0863,48.1356,90.6444
synthetic_D5_wide_5,45.3257,71.6227,28.3561,66.5297,12.6646,56.4098,42.9038,89.5668,50.8539,84.9835
synthetic_D5_wide_6,40.9218,78.8528,22.8635,58.5991,12.2288,53.6330,47.9129,89.5668,54.8912,74.1690
synthetic_D5_wide_7,49.2025,79.3683,27.2315,66.4217,30.1059,47.0399,39.2802,80.5380,44.9558,90.6444
synthetic_D5_wide_8,51.0379,79.3683,35.5314,64.6712,18.0014,48.6514,56.7770,84.2040,44.7172,90.6444
synthetic_D5_wide_9,51.1083,79.3683,38.0219,73.9513,22.9614,53.5682,51.5398,74.9802,60.2350,90.6444
synthetic_D5_wide_10,51.5453,69.1341,41.6759,60.7253,23.4566,44.8244,57.9997,77.3759,44.1634,89.2426
synthetic_D5_wide_11,40.8019,79.3683,42.6445,63.6771,25.9839,44.5339,59.5603,89.5668,41.5508,90.6444
synthetic_D5_wide_12,45.9881,72.2609,27.4283,65.1583,24.9068,51.2780,65.9448,81.9896,41.2220,84.9528
synthetic_D5_wide_13,59.0733,75.4167,37.4663,65.2771,21.0421,66.0513,36.6020,84.9164,62.1097,90.6444
synthetic_D5_wide_14,52.4650,68.0570,32.0831,63.2225,29.4331,42.8985,46.2038,89.5668,37.2540,88.6506
synthetic_D5_wide_15,44.5698,77.1512,39.8182,58.2134,9.9397,47.1353,58.0054,81.6890,38.4424,87.9768
synthetic_D5_wide_16,58.4332,75.3918,26.2139,63.7797,9.5223,50.9407,63.5295,75.4611,36.0808,90.3586
synthetic_D5_wide_17,45.8140,74.8452,27.2929,78.6393,15.3924,60.1798,59.9634,77.0656,54.1102,77.1202
synthetic_D5_wide_18,58.4994,74.4538,33.2520,73.7648,25.7639,54.7459,43.1515,88.7305,37.2483,90.6444
synthetic_D5_wide_19,44.0068,79.3683,28.6001,78.2049,29.6428,54.2086,48.6781,89.5668,55.0103,90.6444
synthetic_D5_wide_20,51.0817,77.5055,29.0832,80.5026,26.3911,48.4285,45.9145,89.5668,36.7616,84.0498
synthetic_D5_wide_21,46.0952,78.8126,31.6031,74.2073,9.5223,48.3642,51.6320,89.5668,39.5230,90.6444
synthetic_D5_wide_22,42.7703,79.3683,30.0699,74.8087,26.3970,60.6682,54.4065,84.5453,46.8404,90.6444
synthetic_D5_wide_23,42.4171,73.6247,26.2294,70.1068,9.5223,54.5820,63.7321,75.0737,49.2648,79.7778
synthetic_D5_wide_24,48.1284,79.0862,29.4187,78.6889,20.1191,68.3195,36.4140,83.2704,53.8524,90.6444
synthetic_D5_wide_25,48.4697,79.3683,28.6215,74.3113,22.9604,60.7446,55.8916,89.5668,59.5035,80.9033
synthetic_D5_wide_26,48.3392,75.5136,25.4339,76.6937,13.0542,53.3898,64.8447,87.1053,57.2299,79.2723
synthetic_D5_wide_27,55.7244,69.0428,31.2618,54.2332,23.8393,47.2555,51.3824,85.2052,41.4858,80.5836
