temperature,humidity,pressure,vibration
30.52,73.12,1022.55,0.79
24.46,82.10,1033.46,0.41
22.22,68.52,1035.67,0.75
23.93,58.49,1019.17,0.06
31.98,39.35,994.45,0.13
23.61,63.20,1015.90,0.45
19.66,87.38,1031.47,0.04
32.23,38.42,1014.96,0.76
15.72,64.68,1019.05,0.46
33.67,43.05,1027.42,0.97
30.00,48.53,1011.99,0.04
22.63,64.64,1015.10,0.64
28.04,56.85,1020.97,0.99
25.82,46.27,1035.92,0.20
15.22,81.49,1035.71,0.93
27.04,70.63,1038.35,0.61
28.50,67.17,1027.28,0.88
35.77,72.64,1026.02,0.01
29.82,56.77,1019.16,0.40
21.75,100.79,1024.98,0.85
13.21,62.85,1021.79,0.30
27.83,85.30,1029.04,0.53
33.58,81.85,1024.49,0.99
24.91,40.82,1033.86,0.23
25.74,40.44,1014.08,0.01
30.57,44.58,1033.14,1.45
32.81,46.67,1014.87,-0.20
16.18,61.62,1007.75,1.00
24.83,70.28,1026.60,0.61
27.20,46.76,1032.49,0.87
22.46,75.13,1029.79,-0.13
27.46,65.63,1030.91,0.56
26.52,61.25,1013.11,0.53
33.99,87.40,1021.59,0.35
22.95,57.97,1016.54,0.93
25.85,59.37,1012.07,0.74
24.31,73.21,1018.94,0.24
24.91,74.42,1015.52,0.34
34.13,71.48,1039.12,0.64
18.53,67.07,1019.67,0.71
29.45,65.84,1031.13,0.76
19.21,83.98,1012.29,0.79
23.68,37.76,1015.49,0.72
23.00,68.42,1019.40,0.89
23.53,43.35,1013.20,0.33
22.34,63.95,1025.84,1.06
21.63,77.32,1024.06,0.91
17.41,66.10,1026.42,0.86
21.99,64.20,1020.69,0.92
28.83,33.96,1020.26,1.08
19.57,73.88,1016.92,0.35
20.84,83.22,1024.64,0.40
18.13,50.71,1044.82,0.45
20.94,28.89,1025.72,0.36
17.00,42.08,1029.54,0.63
22.85,60.59,1008.93,0.61
27.01,64.42,1023.95,0.63
31.57,74.08,1027.76,0.50
26.53,45.58,1012.16,0.22
35.17,81.33,1033.16,0.59
28.00,72.94,1015.86,0.59
31.16,84.76,1017.84,0.81
26.49,73.36,1024.89,0.40
25.94,70.38,1022.03,0.94
27.13,44.72,1010.64,1.13
28.76,54.07,1026.71,0.61
21.91,68.97,1022.23,0.71
30.15,55.98,1025.16,0.86
28.34,79.50,999.33,0.41
25.58,74.60,1009.53,0.43
26.25,55.20,1026.43,0.43
33.84,46.81,1024.86,0.87
20.17,72.14,1010.59,-0.06
26.91,43.84,1034.12,0.44
25.25,38.57,1018.41,0.42
19.80,39.94,1020.22,0.44
20.22,81.90,1035.45,0.25
27.36,35.87,1038.26,1.00
23.63,58.27,1022.57,0.72
29.58,54.18,1028.01,0.47
16.48,55.98,1014.40,0.66
28.93,79.02,1023.21,0.43
23.68,69.37,1018.42,0.32
24.43,69.64,1047.65,0.46
27.05,71.55,1023.58,0.71
26.60,55.73,1013.60,0.53
22.12,44.34,1015.48,0.41
31.08,47.71,1013.57,-0.09
33.36,55.28,1020.60,0.89
25.86,60.57,1027.63,1.01
30.23,61.91,1022.51,0.65
29.67,51.71,1020.49,0.59
22.88,72.86,992.96,0.59
24.60,77.08,1013.30,0.10
22.68,91.48,1008.63,0.35
18.83,57.44,1042.32,0.27
24.98,82.31,1016.66,0.80
29.09,73.27,1022.50,0.92
22.35,68.05,1008.79,0.62
34.02,56.42,1017.92,0.44
20.35,91.19,1019.25,0.90
28.70,61.07,1020.58,-0.09
17.78,72.49,1031.73,0.40
18.02,87.28,1029.63,0.45
26.18,44.49,1018.78,0.59
17.05,66.57,1023.78,0.70
20.77,44.48,999.73,0.92
25.60,42.57,1014.06,0.51
18.59,56.64,1032.12,1.05
21.40,60.32,1019.78,0.34
35.04,66.12,1011.25,0.29
28.15,64.68,1020.14,0.72
31.03,46.01,1012.82,0.48
26.29,63.43,1000.38,0.87
27.40,65.64,1012.55,0.71
