attr1,attr2
51.1570,81.1951
60.9370,65.5236
52.0645,82.5256
55.6194,73.4927
63.7669,61.3708
57.1780,55.8127
55.1069,84.5398
74.2105,72.7455
65.3590,52.7497
60.7852,59.4503
73.0490,55.8970
78.9771,68.8573
71.8829,71.4151
69.5818,52.9629
65.4819,65.6732
58.3264,49.9143
70.1983,61.3907
75.5774,70.2247
67.6446,69.9888
53.2912,57.7408
77.4695,71.3278
49.5119,87.3829
54.4368,52.3614
59.7705,55.5408
78.1696,72.4179
68.4613,57.2263
52.8408,75.8171
51.8705,80.0863
52.9223,76.2220
59.0083,52.3417
61.7607,66.1025
70.9642,54.6751
58.1169,57.5006
60.4054,79.4654
71.3309,62.7096
72.4223,58.7382
55.5019,78.0553
58.5331,81.7070
54.5410,76.6260
54.7650,79.6887
56.5742,51.9409
56.9144,59.1025
60.6567,54.6066
75.4254,56.9023
71.8837,53.3285
51.7700,75.1063
67.0457,62.1631
69.3281,54.1724
63.0125,59.6183
55.3434,79.4751
52.7716,60.3915
53.0799,73.3908
79.2753,66.5259
58.7101,55.3622
76.5676,55.9869
64.9612,60.7640
73.2410,63.0421
58.5288,50.5573
71.3724,61.8937
76.1566,71.6742
71.2645,55.3493
58.4874,55.3673
51.0337,81.4177
57.0447,49.0367
63.7192,62.0555
63.7585,68.7107
68.5627,69.2473
59.9196,59.6791
52.2978,86.6016
70.1468,60.7894
66.9166,58.7115
58.8623,65.1562
71.8902,73.9960
74.4447,60.8422
65.5751,65.9459
54.6837,59.2093
58.7475,56.8576
55.1967,53.5817
58.0801,53.2339
64.4469,63.3888
54.2335,54.9800
76.7698,70.0957
67.5217,65.8221
58.2434,56.2073
66.9149,59.1748
55.1530,78.3603
71.8122,61.0172
52.7483,75.4297
75.3897,69.3875
69.8168,68.8327
65.9512,58.7087
58.2655,76.0026
54.1287,79.8957
68.6319,66.4844
66.7613,62.2932
64.2105,66.1178
54.1071,72.3149
62.4858,64.3922
50.1517,78.3757
64.6628,64.8476
57.1374,71.2222
51.8847,84.4317
58.1918,53.9713
56.9698,83.8541
54.1680,73.8498
72.2791,62.2027
75.3493,70.5453
74.1930,73.6402
50.2017,77.6360
63.5314,62.0608
59.5186,63.1706
61.8315,59.4905
75.1992,71.1752
63.2799,61.6746
67.6676,65.8736
54.4833,81.6333
62.6426,58.7812
69.2439,61.5943
72.9720,64.5037
68.0513,52.7793
75.7153,69.7098
50.0594,83.7968
60.3167,54.0378
54.5044,69.2491
52.8842,77.8907
73.6087,64.5415
76.4156,67.1725
72.6557,60.2435
51.7937,80.9245
61.7393,56.6465
78.5655,59.2555
60.5430,54.8301
75.9352,74.9780
60.9554,61.8131
58.8315,58.1343
52.8809,72.7676
52.5845,81.3145
51.9114,56.3466
68.0771,65.2434
58.8846,63.2488
51.3654,51.7646
50.7735,76.0683
56.0229,57.8603
71.2195,70.9900
56.8099,51.2716
73.8104,58.4065
59.9142,69.8615
65.8007,70.0362
53.1516,85.1303
74.2435,69.5846
53.2845,57.3237
61.0828,61.0145
54.5826,80.7502
70.2233,71.9659
70.6274,56.4383
66.5595,63.4017
51.8761,52.5907
78.3599,68.6461
52.0470,54.8926
60.5815,62.6312
65.0977,54.8953
57.7016,70.0377
74.1465,53.8648
61.0225,53.7077
66.5185,74.7005
69.0862,72.1336
55.8113,51.2955
55.0998,72.0357
77.0119,72.0443
71.3674,63.5480
75.2535,61.0320
62.7464,68.6119
55.2202,48.2406
52.4635,74.7262
62.3353,57.1536
76.1059,71.0405
59.7501,62.7822
78.4341,52.5254
67.2597,65.4874
54.5463,76.7586
65.7757,62.3473
72.4537,59.5091
74.3609,52.3195
73.4514,69.8752
71.7246,68.7539
53.4386,80.9128
68.4331,61.2322
75.8197,74.3881
52.1609,79.9761
53.2574,54.3454
51.6616,78.3091
58.4423,56.3543
80.2661,69.3070
59.5296,56.7573
61.1678,68.3141
72.8844,67.7503
71.4371,72.3159
79.5496,60.1941
66.5578,59.3026
74.1614,58.6010
71.1309,60.1739
54.3058,77.8780
74.6381,73.2098
57.0998,79.9353
59.9329,64.2457
70.2292,65.4141
53.8408,75.5332
74.7932,73.9000
76.2227,70.7828
51.9586,80.3299
64.7462,58.2036
65.1377,59.1119
50.0826,75.7111
83.4305,57.8122
52.6780,77.3029
70.2622,53.0549
75.1646,69.0890
50.2951,75.6753
69.9122,66.8092
56.4762,58.8477
75.4820,62.6281
56.8476,55.0583
70.3118,73.3386
52.2634,82.7745
60.6637,80.0829
52.0923,83.2521
72.0103,76.2033
55.4619,72.0966
62.9992,61.7409
61.0861,60.9402
75.4160,59.4622
75.2717,76.4854
61.5952,48.6181
69.8388,61.0616
54.5030,78.1255
72.2553,73.7754
61.7359,64.4110
60.4126,60.0304
74.0733,60.3308
67.1810,60.4783
80.4091,71.8699
69.3930,61.0253
53.8959,52.3308
60.7606,65.7464
77.2947,71.9706
50.3488,77.9702
51.8102,58.7217
75.5323,74.4012
51.2103,83.8836
62.5535,56.4938
53.3354,78.0581
61.5791,63.9606
71.0350,58.9185
63.0846,62.3412
52.2608,53.2515
78.3528,59.4646
59.7196,58.0437
57.0230,83.0623
66.9961,58.0764
63.7805,66.3351
69.5404,63.9997
54.4248,55.2747
63.8037,69.5406
65.6588,55.6697
78.9896,72.4288
79.6150,57.2983
55.9372,57.1863
75.8911,76.0041
63.9046,61.0646
70.4363,65.7791
63.3216,57.4055
77.2745,73.0377
74.1816,63.3232
75.7872,71.0329
63.5580,63.0890
61.8989,74.0580
78.7888,63.8913
52.1607,59.9920
57.5953,76.5879
57.0951,81.5016
60.6913,53.3215
64.4427,67.1456
68.5325,50.7739
62.5496,57.2800
59.1379,51.7265
62.3084,66.8775
66.3306,63.8019
65.8632,68.2087
66.3478,69.3174
82.1238,68.2758
63.4139,68.3835
65.0144,57.4786
51.5671,78.7231
53.0327,81.7654
53.2627,60.8155
61.8161,48.4554
72.0981,76.2906
73.0115,69.8367
55.1837,59.4191
54.7316,81.2935
72.6562,57.2084
69.9640,64.0509
74.0436,69.7680
71.1736,59.2745
50.7780,82.5481
53.1518,80.0308
59.0599,57.3277
74.0294,60.7676
72.8346,60.1455
53.1178,54.2841
73.4064,72.7161
55.5119,83.6469
56.7100,62.3518
60.6233,58.2455
74.5739,67.6321
62.6803,62.9587
49.9323,80.3971
52.0599,75.9857
61.1082,50.4554
72.5592,54.0891
79.1700,69.0384
68.7994,52.7979
74.8309,66.2504
62.8953,67.1971
69.5775,60.0220
58.3823,60.2822
50.6127,53.1486
66.6771,60.3811
74.7790,71.6078
65.7081,64.9438
55.1556,81.5925
65.2296,54.9110
53.6046,80.6722
59.5440,55.4866
60.0684,66.0357
75.8441,59.0493
76.1734,71.1036
56.7015,57.1792
51.2809,77.9670
60.5085,58.8047
69.1550,64.7330
55.2926,58.7693
64.9100,60.7055
72.7783,58.7157
66.7561,68.6518
62.2841,66.5506
67.2940,62.1531
52.3476,82.7029
70.5993,75.5348
72.7286,71.4638
60.1195,53.9863
72.9723,65.5755
62.1555,58.1770
56.6961,54.1247
74.0114,52.1977
69.7518,72.9196
64.5508,63.9979
63.5224,61.1827
78.3806,73.5999
58.8685,51.5058
51.2903,75.0915
52.0920,58.2048
70.2261,64.7831
52.3695,74.7842
72.5389,61.0595
58.1021,65.4435
73.4356,59.9774
68.3235,64.6284
65.0326,57.9424
49.8810,81.2888
55.6550,59.3955
65.2358,62.1601
64.5153,61.4492
63.0649,63.4881
67.6420,61.8196
72.8571,67.3067
74.5579,69.1556
53.4355,81.4546
53.8647,78.4814
55.0537,72.6791
56.4746,48.9824
52.8289,76.5362
61.1731,54.0711
75.6536,69.5211
56.5276,71.1762
73.2202,67.0222
61.5907,63.7825
72.9342,57.0309
51.3372,82.8381
61.7965,59.0196
67.8712,70.9630
67.8257,67.2659
69.7460,72.2645
50.3464,79.2418
75.6864,65.9083
71.7565,65.0122
77.2764,53.5195
64.3583,68.3901
78.8404,60.1369
64.6442,54.4857
69.3162,60.5395
75.1794,69.4870
68.5315,70.9316
71.7585,61.0945
70.2251,63.0100
56.1853,74.5741
69.5895,71.1715
53.9817,82.2900
54.4550,76.0901
56.6295,55.2702
63.3994,68.9056
66.9611,72.4213
64.8481,63.3839
60.4022,62.8009
55.4783,56.2638
67.0850,64.5894
61.8110,59.5868
77.0246,64.5256
51.8904,82.8750
70.0187,67.1092
74.1367,70.4967
74.8115,66.0935
65.7695,60.6805
68.4908,69.2249
68.1295,71.0867
73.1093,63.1361
61.5790,68.1578
50.4277,78.9300
68.0595,72.0298
59.2635,59.0011
55.4539,80.6949
63.2336,69.4728
70.5413,57.3413
69.9047,73.1692
62.1181,59.1895
58.1068,49.9866
70.9803,58.8304
52.1549,75.0269
74.9648,53.2752
83.8208,71.0398
55.0017,55.6011
71.8832,57.4943
57.9561,56.0169
72.9498,60.2575
67.6888,68.0634
78.3755,73.7176
67.4716,56.5465
55.1050,75.7316
63.5683,61.7639
70.6228,54.7195
49.3067,77.1786
48.1408,78.5816
75.6362,61.0569
77.8932,57.3013
60.2849,53.7713
60.3799,51.0823
65.0825,58.2120
71.5164,70.2386
71.3552,69.7328
54.8373,75.9392
75.6963,72.6657
74.6296,68.3943
67.5586,59.8468
59.9794,53.8754
50.3953,78.1105
77.7396,60.9392
58.7085,54.7651
52.5910,56.3741
59.2482,52.8427
69.1091,57.8882
61.8145,62.0224
44.6636,77.8415
61.8326,67.3572
77.9050,57.2445
67.6953,62.2592
51.7137,77.4994
55.7917,54.7063
60.3706,55.0061
44.3441,85.6198
61.6924,68.6319
74.7582,67.3335
53.3714,79.2525
71.2356,68.7389
52.7743,54.4830
71.3092,76.0566
65.3622,59.5263
59.0795,57.2867
51.0299,76.2063
70.8672,53.8099
65.1690,59.1190
71.0553,70.2609
68.8251,69.7144
53.0371,76.8882
59.5009,57.0915
