attr1,attr2,attr3,attr4,attr5
38.0033,73.6419,61.8036,66.5475,28.3032
54.8944,46.0976,39.1225,73.8683,68.8109
49.3084,46.3522,23.1078,81.0207,19.9747
55.8688,44.2264,22.2560,79.1426,22.4714
33.9136,80.3421,65.5071,58.1620,33.0398
69.4036,29.1800,52.0408,37.4239,62.8456
53.7337,42.0843,16.6499,78.9190,16.3984
58.3111,49.2904,18.0808,72.4765,23.4387
66.1569,51.7161,35.9744,58.9742,73.9582
59.8408,44.4820,22.9554,82.3536,16.3339
40.3290,72.0484,64.6305,59.2661,26.5477
35.9542,74.0292,61.3818,54.4248,32.1220
39.5691,71.8266,64.6992,56.2233,28.5824
61.5993,46.9784,32.5729,69.1570,67.4327
68.8521,51.7975,34.9259,58.6420,76.5880
40.9782,71.6814,69.4837,57.8649,29.6089
57.9593,47.0813,33.6913,68.6854,67.9569
53.9444,45.1143,21.1900,81.7118,15.5387
49.2079,57.7858,19.4787,79.0355,19.4598
69.5447,45.6247,30.8509,77.0929,73.6408
53.6204,50.2512,29.9844,75.8415,24.8726
46.4618,48.7870,30.5527,79.6205,20.7903
68.6029,53.8329,44.2698,69.1768,76.5102
36.1318,71.6019,53.4772,53.6143,30.5625
66.7193,53.2948,45.3445,66.2574,78.3269
62.5470,56.1932,40.2406,70.7397,83.1067
66.8441,30.1993,52.5350,37.1769,71.1074
66.5750,33.4419,49.1068,37.1839,71.2309
61.5894,30.4976,46.6499,36.1414,71.8582
60.9206,45.0942,32.5144,67.4387,61.7509
39.0943,77.3604,55.8442,55.3029,28.3000
70.5306,49.0842,41.6147,69.0390,73.5566
63.8084,46.8611,34.1339,71.2722,62.8988
62.9231,52.7499,40.9846,63.8346,75.5405
64.6798,48.5885,45.0362,65.3244,70.8622
61.6814,31.7524,53.9050,38.1843,69.0887
72.4161,51.3454,36.5303,60.5843,78.8885
53.1996,42.7618,19.7946,76.7397,22.0401
38.6411,75.9105,62.5354,57.0561,32.5777
33.3031,69.6053,61.9483,58.9473,29.1540
67.8183,29.1596,54.8877,33.7102,70.8142
68.9046,46.3853,32.5804,71.9522,60.3844
57.1036,57.6650,42.8051,67.6405,80.9104
61.8341,45.4352,29.6138,76.8446,67.7013
70.8820,34.1587,48.9902,37.0457,67.0749
62.9627,32.1430,52.3635,37.2024,72.3478
71.0839,52.2883,39.8008,62.9447,74.5881
