dataset,dataset_label,group,method,method_label,median
synthetic_D2,D2,narrow,ProposedCEDEstimator,Proposed,1.055194
synthetic_D2,D2,narrow,GlobalEquiWidthHistogram,EW-Hist,1.2658295
synthetic_D2,D2,narrow,GlobalEquiDepthHistogram,ED-Hist,1.34964
synthetic_D2,D2,narrow,IndependenceEstimator,Indep.,1.8157455
synthetic_D2,D2,medium,ProposedCEDEstimator,Proposed,1.039558
synthetic_D2,D2,medium,GlobalEquiWidthHistogram,EW-Hist,1.212733
synthetic_D2,D2,medium,GlobalEquiDepthHistogram,ED-Hist,1.3231055
synthetic_D2,D2,medium,IndependenceEstimator,Indep.,1.922025
synthetic_D2,D2,wide,ProposedCEDEstimator,Proposed,1.0361150000000001
synthetic_D2,D2,wide,GlobalEquiWidthHistogram,EW-Hist,1.0666195
synthetic_D2,D2,wide,GlobalEquiDepthHistogram,ED-Hist,1.1658795
synthetic_D2,D2,wide,IndependenceEstimator,Indep.,1.810911
synthetic_D5,D5,narrow,ProposedCEDEstimator,Proposed,1.1029594999999999
synthetic_D5,D5,narrow,GlobalEquiWidthHistogram,EW-Hist,10.396668
synthetic_D5,D5,narrow,GlobalEquiDepthHistogram,ED-Hist,12.2391845
synthetic_D5,D5,narrow,IndependenceEstimator,Indep.,20.7118085
synthetic_D5,D5,medium,ProposedCEDEstimator,Proposed,1.129353
synthetic_D5,D5,medium,GlobalEquiWidthHistogram,EW-Hist,10.999618
synthetic_D5,D5,medium,GlobalEquiDepthHistogram,ED-Hist,12.8086255
synthetic_D5,D5,medium,IndependenceEstimator,Indep.,23.161691
synthetic_D5,D5,wide,ProposedCEDEstimator,Proposed,1.1753635
synthetic_D5,D5,wide,GlobalEquiWidthHistogram,EW-Hist,3.0380285000000002
synthetic_D5,D5,wide,GlobalEquiDepthHistogram,ED-Hist,3.3388125
synthetic_D5,D5,wide,IndependenceEstimator,Indep.,12.9985635
